,price,address,bed,ages
0,"$725,000","Rock Springs, WY 82901",,
1,"$452,900","Rock Springs, WY 82901",4,New Construction
2,"$396,900","Rock Springs, WY 82901",5,6-10 Years Old
3,"$389,900","Rock Springs, WY 82901",4,1-5 Years Old
4,"$254,000","Rock Springs, WY 82901",3,31-40 Years Old
5,"$252,900","Rock Springs, WY 82901",4,
6,"$210,000","Rock Springs, WY 82901",4,21-30 Years Old
7,"$209,000","Rock Springs, WY 82901",3,21-30 Years Old
8,"$199,900","Rock Springs, WY 82901",3,41-50 Years Old
9,"$196,900","Rock Springs, WY 82901",3,
10,"$1,700,000","Rocksprings, TX 78880",,
11,"$1,100,000","Rocksprings, TX 78880",,
12,"$1,080,000","Rocksprings, TX 78880",,
13,"$908,350","Rocksprings, TX 78880",,
14,"$905,000","Rocksprings, TX 78880",,
15,"$695,000","Rocksprings, TX 78880",,
16,"$605,000","Rocksprings, TX 78880",,
17,"$559,805","Rocksprings, TX 78880",,
18,"$504,000","Rocksprings, TX 78880",,
19,"$410,000","Rocksprings, TX 78880",,
20,"$299,900","Black Canyon City, AZ 85324",3,11-20 Years Old
21,"$167,500","Black Canyon City, AZ 85324",3,
22,"$150,000","Black Canyon City, AZ 85324",,
23,"$129,500","Black Canyon City, AZ 85324",3,21-30 Years Old
24,"$129,000","BLACK CANYON CITY, AZ 85324",4,
25,"$80,000","Black Canyon City, AZ 85324",5,31-40 Years Old
26,"$77,900","Black Canyon City, AZ 85324",3,21-30 Years Old
27,"$70,500","Black Canyon City, AZ 85324",3,11-20 Years Old
28,"$70,000","Black Canyon City, AZ 85324",,
29,"$67,500","Black Canyon City, AZ 85324",,
30,"$54,900","Black Canyon City, AZ 85324",,21-30 Years Old
31,"$45,600","Black Canyon City, AZ 85324",3,41-50 Years Old
32,"$40,000","Black Canyon City, AZ 85324",2,21-30 Years Old
33,"$30,000","Black Canyon City, AZ 85324",,
34,"$29,000","Black Canyon City, AZ 85324",,
35,"$28,995","Black Canyon City, AZ 85324",,
36,"$15,000","Black Canyon City, AZ 85324",,
